time,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,MBB,MSN,MWG,PLX,POW,SAB,SHB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB
2/14/2020,7.62,24.36,28.22,48.63,12.26,19.69,54.85,9.91,5.65,8.17,6.32,40.3,33.78,42.69,8.2,72.82,2.91,5.84,11.6,11.01,6.16,38.56,64.55,4.3,48.89,128.6,65.06,8.86
2/17/2020,7.62,24.36,29.07,48.12,12.15,19.58,54.1,9.73,5.68,8.19,6.38,40.22,33.91,42.53,8.16,71.36,2.95,5.8,11.65,11.24,6.16,38.6,63.89,4.28,48,128.7,65.61,8.84
2/18/2020,7.68,24.08,29.35,47.86,12.22,20.23,53.3,9.91,5.66,8.03,6.32,40.22,34.35,42.29,8.16,68.29,2.91,5.76,11.55,11.2,6.16,38.6,63.37,4.19,46.45,128.7,64.39,8.94
2/19/2020,7.59,25.39,28.96,48.12,12.36,20.12,52.86,10.35,5.63,8.02,6.28,40.78,34.85,42.37,8.24,68.29,2.79,5.78,11.4,11.17,6.02,38.65,63.37,4.23,46.67,128.4,64.94,9.07
2/20/2020,7.62,24.92,28.96,49.05,12.31,20.16,52.86,10.35,5.61,8.19,6.29,41.35,34.88,42.61,8.59,69.06,2.75,5.78,11.3,11.1,6.05,38.65,64.03,4.28,48.89,128.5,64.94,9.32
2/21/2020,7.42,24.83,27.94,49.91,11.83,19.76,52.93,10.08,5.61,8.12,6.16,42.89,34.88,42.29,8.48,69.29,2.75,5.73,11.3,10.91,6.02,38.43,63.44,4.4,48.85,128.6,66.22,9.4
2/24/2020,6.93,23.42,26.13,47.78,11.17,18.97,52,9.65,5.38,7.83,5.84,41.35,33.5,40.53,7.88,68.29,2.83,5.34,10.85,10.16,5.72,37.65,61.9,4.19,47.69,128,64.94,8.75
2/25/2020,7.24,22.86,27.55,48.54,11.94,19.51,51.44,10.08,5.53,7.97,6.05,40.95,33.75,40.69,7.84,68.29,2.91,5.39,11.15,10.49,5.92,37.22,61.23,4.21,47.56,127,65.91,9.24
2/26/2020,7.1,22.86,26.53,47.35,11.81,19.87,49.52,10.61,5.47,7.84,5.96,40.26,33.5,40.13,8.04,67.91,3.19,5.29,11.2,10.56,5.86,36.7,59.61,4.16,47.07,125,64.08,9.24
2/27/2020,7.36,22.86,26.59,48.12,11.99,20.23,48.96,10.96,5.53,7.91,6.08,40.22,34.19,41.01,7.96,66.45,3.51,5.42,11.65,10.75,6.06,36.27,59.54,4.3,46.93,122.8,65.55,9.25
2/28/2020,7.27,23.42,25.68,46.84,11.78,19.91,46.98,10.7,5.49,7.71,5.93,39.65,33.59,41.33,7.77,62.16,3.83,5.22,11.6,10.51,6.05,35.58,59.24,4.23,46.85,121.9,63.78,8.88
3/2/2020,7.27,23.99,25.49,46.67,11.67,20.12,48.96,10.79,5.47,7.69,6.02,39.65,33.59,40.69,7.87,65.22,4.19,5.19,12.35,10.63,6.03,35.32,59.32,4.28,46.85,120.8,63.78,8.78
3/3/2020,7.39,23.42,26.47,47.52,12.1,20.2,49.58,11.49,5.47,7.69,6.08,39.65,33.56,40.29,7.83,65.22,4.5,5.24,12.25,10.63,6.05,35.49,59.32,4.28,46.89,120.8,64.27,8.86
3/4/2020,7.45,23.05,26.05,47.52,12.1,20.05,48.4,11.05,5.56,7.71,6.03,39.65,33.43,40.29,7.85,64.84,4.78,5.34,12.5,10.65,6.19,35.28,59.32,4.3,46.89,121.3,63.96,8.86
3/5/2020,7.39,23.42,26.33,47.09,11.97,19.73,48.4,11.05,5.53,7.71,6,41.19,33.27,40.29,8.04,64.84,5.14,5.52,12.2,10.53,6.22,35.88,59.69,4.26,46.93,123,63.78,9.09
3/6/2020,7.3,23.42,26.44,47.01,11.81,19.51,48.03,10.96,5.53,7.72,6,44.02,32.52,39.81,7.96,62.39,4.94,5.48,12.25,10.42,6.22,36.49,59.61,4.26,46.67,120.5,63.59,8.98
3/9/2020,6.72,21.83,24.61,43.77,10.98,18.17,44.68,,5.14,7.19,5.6,42.08,30.25,37.04,7.41,59.58,4.47,5.11,11.4,9.71,5.79,33.94,55.49,3.77,43.42,113.5,59.2,8.36
